,neighborhood,fotocasa_price,lloguer_price,diference
0,Ciutat Vella,18.97138549660122,13.280772285003037,30.0
1,Eixample,19.01894868744866,13.43028427081244,29.0
2,Gràcia,17.634874535551234,13.626832090086777,23.0
3,Horta-Guinardó,13.662579517839847,12.281540901955733,10.0
4,Les Corts,15.785692686662372,14.02975284552058,11.0
5,Nou Barris,12.413575893597427,11.34599667480602,9.0
6,Sant Andreu,13.093919403875152,11.883917760681582,9.0
7,Sant Martí,17.791160757123055,13.235038925622613,26.0
8,Sants-Montjuïc,16.344101674586607,13.108064355281604,20.0
9,Sarrià-Sant Gervasi,17.631266838549397,14.36995828263773,18.0
